2
30
24
0.1753	0.9318
0.1753	0.9545
0.1846	0.9606
0.2092	0.9500
0.2338	0.9287
0.2584	0.8969
0.2830	0.8621
0.3056	0.8287
0.3107	0.8242
0.3189	0.8090
0.3415	0.7742
0.3456	0.7727
0.3569	0.7590
0.3815	0.7287
0.4061	0.6984
0.4256	0.6712
0.4256	0.6712
0.4143	0.6575
0.4000	0.6560
0.3897	0.6590
0.3651	0.6696
0.3405	0.6818
0.3158	0.6954
0.2912	0.7151
0.2666	0.7393
0.2420	0.7666
0.2174	0.7984
0.1928	0.8424
0.1774	0.8848
0.1753	0.9318
0.2026	0.8848
0.2054	0.8969
0.2131	0.9080
0.2137	0.9070
0.2144	0.9080
0.2377	0.8919
0.2615	0.8595
0.2622	0.8595
0.2649	0.8565
0.2785	0.8353
0.3024	0.8020
0.3262	0.7656
0.3438	0.7313
0.3445	0.7262
0.3293	0.7212
0.3053	0.7333
0.2814	0.7505
0.2575	0.7757
0.2337	0.8060
0.2194	0.8292
0.2099	0.8494
0.2093	0.8545
0.2032	0.8777
0.2026	0.8848
