0.7386	-0.9864
0.7392	-0.9422
0.7411	-0.9020
0.7460	-0.8457
0.7504	-0.8175
0.7567	-0.7893
0.7654	-0.7692
0.7754	-0.7531
0.7866	-0.7531
0.7985	-0.7733
0.8103	-0.8054
0.8197	-0.8497
0.8297	-0.8979
0.8403	-0.9542
0.8496	-1.030
0.8565	-1.095
0.8621	-1.187
0.8684	-1.292
0.8727	-1.376
0.8758	-1.489
0.8759	-1.525
0.8758	-1.549
0.8752	-1.569
0.8727	-1.609
0.8690	-1.654
0.8621	-1.682
0.8553	-1.694
0.8509	-1.690
0.8409	-1.670
0.8259	-1.629
0.8147	-1.585
0.8003	-1.533
0.7872	-1.469
0.7748	-1.404
0.7635	-1.340
0.7548	-1.268
0.7492	-1.219
0.7436	-1.135
0.7404	-1.074
0.7392	-1.022
0.7386	-0.9864
