0.1144	1.220
0.1158	1.236
0.1178	1.247
0.1221	1.255
0.1260	1.253
0.1294	1.249
0.1342	1.239
0.1405	1.221
0.1512	1.181
0.1667	1.127
0.1920	1.048
0.2118	0.9913
0.2308	0.9438
0.2608	0.8789
0.2870	0.8302
0.3204	0.7777
0.3538	0.7290
0.3935	0.6791
0.4207	0.6455
0.4386	0.6230
0.4492	0.6110
0.4555	0.5990
0.4585	0.5918
0.4589	0.5880
0.4604	0.5830
0.4594	0.5780
0.4580	0.5755
0.4541	0.5730
0.4488	0.5705
0.4338	0.5666
0.4222	0.5678
0.4004	0.5740
0.3602	0.5963
0.3268	0.6224
0.2953	0.6548
0.2716	0.6910
0.2493	0.7272
0.2280	0.7660
0.2110	0.7997
0.1916	0.8472
0.1737	0.8959
0.1524	0.9610
0.1378	1.027
0.1271	1.077
0.1208	1.114
0.1179	1.139
0.1154	1.165
0.1144	1.187
0.1144	1.207
0.1144	1.220
