0.2158	0.9409
0.2170	0.9462
0.2189	0.9505
0.2232	0.9523
0.2269	0.9505
0.2306	0.9479
0.2356	0.9418
0.2437	0.9305
0.2530	0.9165
0.2604	0.9008
0.2741	0.8764
0.3038	0.8127
0.3268	0.7639
0.3392	0.7369
0.3435	0.7229
0.3479	0.7072
0.3479	0.6985
0.3466	0.6915
0.3448	0.6889
0.3392	0.6906
0.3355	0.6924
0.3299	0.6950
0.3243	0.6976
0.3175	0.7037
0.3094	0.7116
0.2920	0.7316
0.2790	0.7526
0.2685	0.7700
0.2573	0.7927
0.2443	0.8215
0.2350	0.8485
0.2275	0.8729
0.2226	0.8912
0.2182	0.9061
0.2164	0.9183
0.2151	0.9305
0.2158	0.9409
